views,score,name,summary
873180人评价,9.6,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),希望让人自由。
627709人评价,9.5,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,风华绝代。
835120人评价,9.4,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),怪蜀黍和小萝莉不得不说的故事。
711942人评价,9.4,阿甘正传 / Forrest Gump / 福雷斯特·冈普,一部美国近现代史。
415272人评价,9.5,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,最美的谎言。
663193人评价,9.2,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,最好的宫崎骏，最好的久石让。 
382872人评价,9.4,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,拯救一个人，就是拯救整个世界。
654494人评价,9.2,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),失去的才是永恒的。 
763424人评价,9.2,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),诺兰给了我们一场无法盗取的梦。
499187人评价,9.3,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),小瓦力，大人生。
599620人评价,9.2,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
674364人评价,9.1,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),英俊版憨豆，高情商版谢耳朵。
455566人评价,9.2,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),永远都不能忘记你所爱的人。
452751人评价,9.2,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,天籁一般的童声，是最接近上帝的存在。 
488554人评价,9.2,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,一生所爱。
418679人评价,9.1,龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗,人人心中都有个龙猫，童年就永远不会消失。
343904人评价,9.2,教父 / The Godfather / Mario Puzo's The Godfather,千万不要记恨你的对手，这样会让你失去理智。
454540人评价,9.1,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,如果再也不能见到你，祝你早安，午安，晚安。
271512人评价,9.2,乱世佳人 / Gone with the Wind / 飘,Tomorrow is another day.
309777人评价,9.1,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
366200人评价,9.1,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),满满温情的高雅喜剧。
538945人评价,8.9,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,平民励志片。 
252083人评价,9.2,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
398965人评价,9.0,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,香港电影史上永不过时的杰作。
404343人评价,9.0,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
views,score,name,rank,summary
873180人评价,9.6,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),1,希望让人自由。
627709人评价,9.5,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,2,风华绝代。
835120人评价,9.4,这个杀手不太冷 / Léon / 杀手莱昂  /  终极追杀令(台),3,怪蜀黍和小萝莉不得不说的故事。
711942人评价,9.4,阿甘正传 / Forrest Gump / 福雷斯特·冈普,4,一部美国近现代史。
415272人评价,9.5,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,5,最美的谎言。
663193人评价,9.2,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  Spirited Away,6,最好的宫崎骏，最好的久石让。 
382872人评价,9.4,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,7,拯救一个人，就是拯救整个世界。
654494人评价,9.2,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),8,失去的才是永恒的。 
763424人评价,9.2,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),9,诺兰给了我们一场无法盗取的梦。
499187人评价,9.3,机器人总动员 / WALL·E / 瓦力(台)  /  太空奇兵·威E(港),10,小瓦力，大人生。
599620人评价,9.2,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,11,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
674364人评价,9.1,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),12,英俊版憨豆，高情商版谢耳朵。
455566人评价,9.2,忠犬八公的故事 / Hachi: A Dog's Tale / 忠犬小八(台)  /  秋田犬八千(港),13,永远都不能忘记你所爱的人。
452751人评价,9.2,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,14,天籁一般的童声，是最接近上帝的存在。 
488554人评价,9.2,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,15,一生所爱。
418679人评价,9.1,龙猫 / となりのトトロ / 邻家的豆豆龙  /  隔壁的特特罗,16,人人心中都有个龙猫，童年就永远不会消失。
343904人评价,9.2,教父 / The Godfather / Mario Puzo's The Godfather,17,千万不要记恨你的对手，这样会让你失去理智。
454540人评价,9.1,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,18,如果再也不能见到你，祝你早安，午安，晚安。
271512人评价,9.2,乱世佳人 / Gone with the Wind / 飘,19,Tomorrow is another day.
309777人评价,9.1,天堂电影院 / Nuovo Cinema Paradiso / 星光伴我心(港)  /  新天堂乐园(台),20,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
366200人评价,9.1,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),21,满满温情的高雅喜剧。
538945人评价,8.9,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,22,平民励志片。 
252170人评价,9.2,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,23,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
398965人评价,9.0,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,24,香港电影史上永不过时的杰作。
404343人评价,9.0,搏击俱乐部 / Fight Club / 搏击会(港)  /  斗阵俱乐部(台),25,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
171172人评价,9.4,十二怒汉 / 12 Angry Men / 12怒汉  /  十二怒汉,26,1957年的理想主义。 
545807人评价,8.9,怦然心动 / Flipped / 萌动青春  /  青春萌动,27,真正的幸福是来自内心深处。
284521人评价,9.1,指环王3：王者无敌 / The Lord of the Rings: The Return of the King / 魔戒三部曲：王者再临(台 / 港) ,28,史诗的终章。
483152人评价,9.1,星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),29,爱是一种力量，让我们超越时空感知它的存在。
578141人评价,9.0,少年派的奇幻漂流 / Life of Pi / 少年Pi的奇幻漂流  /  漂流少年Pi,30,瑰丽壮观、无人能及的冒险之旅。
331972人评价,9.0,天空之城 / 天空の城ラピュタ / Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,31,对天空的追逐，永不停止。 
227516人评价,9.2,鬼子来了 / Devils on the Doorstep,32,对敌人的仁慈，就是对自己残忍。
385044人评价,8.9,罗马假日 / Roman Holiday / 金枝玉叶(港)  /  罗马假期(台),33,爱情哪怕只有一天。
318695人评价,9.0,蝙蝠侠：黑暗骑士 / The Dark Knight / 蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),34,无尽的黑暗。
394971人评价,8.9,大话西游之月光宝盒 / 西遊記第壹佰零壹回之月光寶盒 / 西游记101回月光宝盒  /  齐天大圣东游记,35,旷古烁今。
265298人评价,9.1,活着 / 人生  /  Lifetimes,36,张艺谋最好的电影。
272633人评价,9.0,"两杆大烟枪 / Lock, Stock and Two Smoking Barrels / 够姜四小强(港)  /  两根枪管(台)",37,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
496255人评价,8.9,飞屋环游记 / Up / 冲天救兵(港)  /  天外奇迹(台),38,最后那些最无聊的事情，才是最值得怀念的。 
221347人评价,9.1,窃听风暴 / Das Leben der Anderen / 他人的生活  /  别人的生活,39,别样人生。
276552人评价,9.0,飞越疯人院 / One Flew Over the Cuckoo's Nest / 飞越杜鹃窝  /  飞越喜鹊巢,40,自由万岁。
181068人评价,9.3,海豚湾 / The Cove / 血色海湾(台)  /  海湾,41,海豚的微笑，是世界上最高明的伪装。
319477人评价,8.9,闻香识女人 / Scent of a Woman / 女人香  /  女人的芳香,42,史上最美的探戈。
412442人评价,8.8,V字仇杀队 / V for Vendetta / V煞(港)  /  V怪客(台),43,一张面具背后的理想与革命。
345731人评价,8.9,哈尔的移动城堡 / ハウルの動く城 / 呼啸山城  /  霍尔的移动城堡,44,带着心爱的人在天空飞翔。
185113人评价,9.1,教父2 / The Godfather: Part Ⅱ / 教父续集  /  教父II,45,优雅的孤独。
302453人评价,8.9,美丽心灵 / A Beautiful Mind / 有你终生美丽(港)  /  美丽境界(台),46,爱是一切逻辑和原由。
268513人评价,8.9,指环王2：双塔奇兵 / The Lord of the Rings: The Two Towers / 魔戒二部曲：双城奇谋  /  指环王II：双塔,47,承前启后的史诗篇章。
299906人评价,8.9,指环王1：魔戒再现 / The Lord of the Rings: The Fellowship of the Ring / 魔戒首部曲：魔戒现身  /  指环王I：护戒使者,48,传说的开始。
274182人评价,8.9,死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),49,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
370679人评价,8.8,情书 / Love Letter / When I Close My Eyes  /  Letters of Love,50,暗恋的极致。
84268人评价,9.6,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,51,比利·怀德满分作品。
478089人评价,8.7,天使爱美丽 / Le fabuleux destin d'Amélie Poulain / 艾蜜莉的异想世界(台)  /  天使艾米莉,52,法式小清新。 
172602人评价,9.1,美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),53,往事如烟，无处祭奠。
197228人评价,9.1,辩护人 / 변호인 / 逆权大状(港)  /  正义辩护人(台),54,电影的现实意义大过电影本身。
200736人评价,9.0,钢琴家 / The Pianist / 战地琴人  /  钢琴战曲,55,音乐能化解仇恨。
192787人评价,9.0,饮食男女 / 飲食男女 / Eat Drink Man Woman,56,人生不能像做菜，把所有的料都准备好了才下锅。
430649人评价,8.7,七宗罪 / Se7en / 火线追缉令  /  7宗罪,57,警察抓小偷，老鼠玩死猫。
277833人评价,8.9,狮子王 / The Lion King / 狮子王3D,58,动物版《哈姆雷特》。
276799人评价,8.9,被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),59,以戏谑来戏谑戏谑。
337347人评价,8.8,致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),60,孪生蝙蝠侠大战克隆金刚狼。
134361人评价,9.2,小鞋子 / بچههای آسمان / 天堂的孩子  /  小童鞋,61,奔跑的孩子是天使。
292482人评价,8.8,勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),62,史诗大片的典范。
477611人评价,8.7,剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港)  /  剪刀手爱德华,63,浪漫忧郁的成人童话。
228775人评价,8.9,音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),64,用音乐化解仇恨，让歌声串起美好。
484836人评价,9.2,疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),65,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
328611人评价,8.7,低俗小说 / Pulp Fiction / 黑色追緝令(台)  /  危险人物(港),66,故事的高级讲法。
386984人评价,8.7,本杰明·巴顿奇事 / The Curious Case of Benjamin Button / 奇幻逆缘(港)  /  返老还童,67,在时间之河里感受溺水之苦。
314926人评价,8.8,入殓师 / おくりびと / 礼仪师之奏鸣曲(港)  /  礼仪师(台),68,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
171935人评价,9.1,素媛 / 소원 / 许愿  /  希望：为爱重生(台),69,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
347205人评价,8.7,沉默的羔羊 / The Silence of the Lambs / 沉默的羔羊,70,安东尼·霍普金斯的顶级表演。
275181人评价,8.8,黑客帝国 / The Matrix / 廿二世纪杀人网络(港)  /  骇客任务(台),71,视觉革命。
232150人评价,8.8,拯救大兵瑞恩 / Saving Private Ryan / 雷霆救兵(港)  /  抢救雷恩大兵(台),72,美利坚精神输出大片No1.
374820人评价,8.7,蝴蝶效应 / The Butterfly Effect / 蝴蝶效应,73,人的命运被自己瞬间的抉择改变。
339522人评价,8.7,西西里的美丽传说 / Malèna / 真爱伴我行(台)  /  玛莲娜,74,美丽无罪。
229817人评价,8.9,玛丽和马克思 / Mary and Max / 巧克力情缘  /  玛丽和麦克斯,75,你是我最好的朋友，你是我唯一的朋友 。
264717人评价,8.7,心灵捕手 / Good Will Hunting / 骄阳似我(港)  /  心灵捕手,76,人生中应该拥有这样的一段豁然开朗。
239606人评价,8.8,春光乍泄 / 春光乍洩 / 一起快乐  /  Happy Together,77,爱情纠缠，男女一致。
229932人评价,8.8,幽灵公主 / もののけ姫 / 魔法公主  /  幽灵少女,78,人与自然的战争史诗。
610377人评价,8.7,让子弹飞 / 让子弹飞一会儿  /  火烧云,79,你给我翻译翻译，神马叫做TMD的惊喜。
229727人评价,8.8,第六感 / The Sixth Sense / 灵异第六感  /  鬼眼,80,深入内心的恐怖，出人意料的结局。
264413人评价,8.7,阳光灿烂的日子 / In the Heat of the Sun,81,一场华丽的意淫。
95229人评价,9.2,大闹天宫 / 大闹天宫 上下集  /  The Monkey King,82,经典之作，历久弥新。
246850人评价,8.7,大鱼 / Big Fish / 大鱼奇缘(港)  /  大智若鱼(台),83,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
321189人评价,8.6,重庆森林 / 重慶森林 / Chungking Express,84,寂寞没有期限。
269433人评价,8.7,射雕英雄传之东成西就 / 射鵰英雄傳之東成西就 / 东成西就  /  大英雄 (日本),85,百看不厌。 
349694人评价,8.6,禁闭岛 / Shutter Island / 不赦岛(港)  /  隔离岛(台),86,昔日翩翩少年，今日大腹便便。
227674人评价,8.7,甜蜜蜜 / Comrades: Almost a Love Story,87,相逢只要一瞬间，等待却像是一辈子。
155157人评价,8.9,上帝之城 / Cidade de Deus / 无主之城 (港)  /  无法无天 (台),88,被上帝抛弃了的上帝之城。
262011人评价,8.8,阳光姐妹淘 / 써니 / 阳光姊妹淘(港)  /  桑尼,89,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
309947人评价,8.6,致命ID / Identity / 杀人游戏  /  致命身份,90,最不可能的那个人永远是最可能的。
151510人评价,8.9,一一 / Yi yi  /  Yi yi: A One and a Two,91,我们都曾经是一一。
333132人评价,8.7,告白 / 自白  /  母亲,92,没有一人完全善，也没有一人完全恶。
122025人评价,9.0,狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港),93,人言可畏。
298357人评价,8.7,布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),94,小清新的故事里注入了大历史的情怀。
333455人评价,8.6,加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),95,约翰尼·德普的独角戏。
310150人评价,8.6,断背山 / Brokeback Mountain / 断臂山,96,每个人心中都有一座断背山。
157697人评价,8.9,末代皇帝 / The Last Emperor / 末代皇帝溥仪(港),97,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
213699人评价,8.7,爱在黎明破晓前 / Before Sunrise / 情留半天(港)  /  爱在黎明破晓时(台),98,缘分是个连绵词，最美不过一瞬。
515979人评价,8.6,阿凡达 / Avatar / 天神下凡  /  化身,99,绝对意义上的美轮美奂。
84872人评价,9.2,"摩登时代 / Modern Times / The Masses  /  Temps modernes, Les",100,大时代中的人生，小人物的悲喜。
214236人评价,8.7,猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台),101,骗子大师和执著警探的你追我跑故事。 
171388人评价,8.8,风之谷 / 風の谷のナウシカ / 风谷少女  /  Kaze no tani no Naushika,102,动画片的圣经。
243017人评价,8.7,哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台) ,103,童话世界的开端。
193156人评价,8.7,爱在日落黄昏时 / Before Sunset / 日落巴黎(港)  /  爱在日落巴黎时(台),104,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
162801人评价,8.8,侧耳倾听 / 耳をすませば / 心之谷  /  梦幻街少女,105,少女情怀总是诗。
198553人评价,8.7,萤火虫之墓 / 火垂るの墓 / 再见萤火虫(港)  /  萤火挽歌,106,幸福是生生不息，却难以触及的远。 
136226人评价,8.9,穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩,107,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。
276135人评价,8.7,驯龙高手 / How to Train Your Dragon / 驯龙记(港),108,和谐的生活离不开摸头与被摸头。
166652人评价,8.8,超脱 / Detachment / 人间师格(台),109,穷尽一生，我们要学会的，不过是彼此拥抱。
339364人评价,8.7,消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩,110,年度最佳date movie。
97291人评价,9.0,海洋 / Océans / Oceans  /  海洋,111,大海啊，不全是水。
219446人评价,8.6,幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台),112,有时候幸福需要等一等。 
174768人评价,8.7,菊次郎的夏天 / 菊次郎の夏 / Kikujirô no natsu  /  菊次郎的夏天,113,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
